Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[organism part]	Term Source REF	Term Accession Number	Factor Value[Treatment]	Characteristics[Common Name]	Term Source REF	Term Accession Number	Factor Value[Growth Medium Provenance]	Term Source REF	Term Accession Number	Characteristics[Mission]	Protocol REF	Parameter Value[relative humidity]	Unit	Term Source REF	Term Accession Number	Parameter Value[container]	Term Source REF	Term Accession Number	Parameter Value[Growth Medium]	Parameter Value[light cycle]	Unit	Term Source REF	Term Accession Number	Parameter Value[light source]	Term Source REF	Term Accession Number	Parameter Value[Mean Growth Temperature]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Quantity of treatment substrate]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Number of pooled replicates]
Control_Apollo15_Gmax_Leaves_BYS-5_1088	Control_Apollo15_Gmax_Leaves_BYS-5_1088	Glycine max	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3847	Kanrich	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	Plant Leaves	MESH	http://purl.bioontology.org/ontology/MESH/D018515	Control	Soybean	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Apollo 15	growth protocol	50-90	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Open jar	OSD	https://osdr.nasa.gov/	Hoagland's solution	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	CWF and Sylvania W.W. Gro-Liix	OSD	https://osdr.nasa.gov/	22.5	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	10
Lunar_Apollo15_Gmax_Leaves_BYS-6_1089	Lunar_Apollo15_Gmax_Leaves_BYS-6_1089	Glycine max	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3847	Kanrich	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	Plant Leaves	MESH	http://purl.bioontology.org/ontology/MESH/D018515	Lunar	Soybean	OSD	https://osdr.nasa.gov/	lunar surface	RBO	http://purl.obolibrary.org/obo/RBO_00005019	Apollo 15	growth protocol	50-90	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Open jar	OSD	https://osdr.nasa.gov/	Hoagland's solution	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	CWF and Sylvania W.W. Gro-Liix	OSD	https://osdr.nasa.gov/	22.5	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol	0.22	grams per replicate	OSD	https://osdr.nasa.gov/	sample collection	10
Lunar_Apollo15_Rsativus_Seedling_BYR-1_1094	Lunar_Apollo15_Rsativus_Seedling_BYR-1_1094	Raphanus sativus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3726	Kanrich	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Lunar	Radish	OSD	https://osdr.nasa.gov/	lunar surface	RBO	http://purl.obolibrary.org/obo/RBO_00005019	Apollo 15	growth protocol	50-90	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Open jar	OSD	https://osdr.nasa.gov/	Hoagland's solution	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	CWF and Sylvania W.W. Gro-Liix	OSD	https://osdr.nasa.gov/	22.5	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol	0.22	grams per replicate	OSD	https://osdr.nasa.gov/	sample collection	10
Terrestrial_Basalt_Apollo15_Rsativus_Seedling_BYR-2_1095	Terrestrial_Basalt_Apollo15_Rsativus_Seedling_BYR-2_1095	Raphanus sativus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3726	Kanrich	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Terrestrial Basalt	Radish	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Apollo 15	growth protocol	50-90	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Open jar	OSD	https://osdr.nasa.gov/	Hoagland's solution	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	CWF and Sylvania W.W. Gro-Liix	OSD	https://osdr.nasa.gov/	22.5	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol	0.22	grams per replicate	OSD	https://osdr.nasa.gov/	sample collection	10
Iowa_Soil_Apollo15_Rsativus_Seedling_BYR-3_1096	Iowa_Soil_Apollo15_Rsativus_Seedling_BYR-3_1096	Raphanus sativus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3726	White Icicle	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Iowa Soil	Radish	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Apollo 15	growth protocol	50-90	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Open jar	OSD	https://osdr.nasa.gov/	Hoagland's solution	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	CWF and Sylvania W.W. Gro-Liix	OSD	https://osdr.nasa.gov/	22.5	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol	0.22	grams per replicate	OSD	https://osdr.nasa.gov/	sample collection	10
Control_Apollo15_Rsativus_Seedling_BYR-4_1097	Control_Apollo15_Rsativus_Seedling_BYR-4_1097	Raphanus sativus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3726	White Icicle	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Control	Radish	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Apollo 15	growth protocol	50-90	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Open jar	OSD	https://osdr.nasa.gov/	Hoagland's solution	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	CWF and Sylvania W.W. Gro-Liix	OSD	https://osdr.nasa.gov/	22.5	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	10
Control_Apollo15_BoleraceaeLII_Seed	Control_Apollo15_BoleraceaeLII_Seed	Brassica oleracea	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3712	White Icicle	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	seed	EFO	http://purl.obolibrary.org/obo/PO_0009010	Control	Brussel Sprouts	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Apollo 15	growth protocol	50-90	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Open jar	OSD	https://osdr.nasa.gov/	Hoagland's solution	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	CWF and Sylvania W.W. Gro-Liix	OSD	https://osdr.nasa.gov/	22.5	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	6
Lunar_Apollo15_BoleraceaLII_Seed	Lunar_Apollo15_BoleraceaLII_Seed	Brassica oleracea	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3712	White Icicle	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	seed	EFO	http://purl.obolibrary.org/obo/PO_0009010	Lunar	Brussel Sprouts	OSD	https://osdr.nasa.gov/	lunar surface	RBO	http://purl.obolibrary.org/obo/RBO_00005019	Apollo 15	growth protocol	50-90	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Open jar	OSD	https://osdr.nasa.gov/	Hoagland's solution	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	CWF and Sylvania W.W. Gro-Liix	OSD	https://osdr.nasa.gov/	22.5	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol	0.22	grams per replicate	OSD	https://osdr.nasa.gov/	sample collection	6
Simulated_Lunar_BoleraceaLII_Seed	Simulated_Lunar_BoleraceaLII_Seed	Brassica oleracea	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3712	Long Island Improvement	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	seed	EFO	http://purl.obolibrary.org/obo/PO_0009010	Simulated Lunar	Brussel Sprouts	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Apollo 15	growth protocol	50-90	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Open jar	OSD	https://osdr.nasa.gov/	Hoagland's solution	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	CWF and Sylvania W.W. Gro-Liix	OSD	https://osdr.nasa.gov/	22.5	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol	0.22	grams per replicate	OSD	https://osdr.nasa.gov/	sample collection	6
Iowa_Soil_BoleraceaLII_Seed	Iowa_Soil_BoleraceaLII_Seed	Brassica oleracea	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3712	Long Island Improvement	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	seed	EFO	http://purl.obolibrary.org/obo/PO_0009010	Iowa Soil	Brussel Sprouts	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Apollo 15	growth protocol	50-90	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Open jar	OSD	https://osdr.nasa.gov/	Hoagland's solution	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	CWF and Sylvania W.W. Gro-Liix	OSD	https://osdr.nasa.gov/	22.5	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol	0.22	grams per replicate	OSD	https://osdr.nasa.gov/	sample collection	6
